state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Iowa,19183,Washington County,6971,4561,11765,2410,0.592520187,0.387675308,0.204844879
Iowa,19185,Wayne County,2338,727,3109,1611,0.752010293,0.233837247,0.518173046
Iowa,19187,Webster County,10938,6613,17822,4325,0.613735832,0.371058243,0.242677589
Iowa,19189,Winnebago County,3707,2135,5970,1572,0.620938023,0.357621441,0.263316583
Iowa,19191,Winneshiek County,6235,5617,12064,618,0.516826923,0.465600133,0.05122679
Iowa,19193,Woodbury County,25736,18704,45362,7032,0.567347119,0.412327499,0.15501962
Iowa,19195,Worth County,2738,1596,4418,1142,0.619737438,0.361249434,0.258488004
Iowa,19197,Wright County,4136,1996,6254,2140,0.661336744,0.31915574,0.342181004
Kansas,20001,Allen County,4155,1559,5842,2596,0.711229031,0.266860664,0.444368367
Kansas,20003,Anderson County,2874,765,3720,2109,0.772580645,0.205645161,0.566935484
Kansas,20005,Atchison County,4826,2314,7312,2512,0.660010941,0.316466083,0.343544858
Kansas,20007,Barber County,1992,284,2313,1708,0.861219196,0.122784263,0.738434933
Kansas,20009,Barton County,8480,2302,10961,6178,0.773652039,0.210017334,0.563634705
Kansas,20011,Bourbon County,4910,1505,6550,3405,0.749618321,0.229770992,0.519847328
Kansas,20013,Brown County,3206,1088,4396,2118,0.729299363,0.247497725,0.481801638
Kansas,20015,Butler County,22250,9003,31946,13247,0.696487823,0.28181932,0.414668503
Kansas,20017,Chase County,1114,341,1478,773,0.753721245,0.230717185,0.52300406
Kansas,20019,Chautauqua County,1397,212,1634,1185,0.85495716,0.129742962,0.725214198
Kansas,20021,Cherokee County,6622,2163,8945,4459,0.740301845,0.241811068,0.498490777
Kansas,20023,Cheyenne County,1158,220,1400,938,0.827142857,0.157142857,0.67
Kansas,20025,Clark County,885,143,1048,742,0.844465649,0.136450382,0.708015267
Kansas,20027,Clay County,3129,883,4134,2246,0.756894049,0.213594582,0.543299468
Kansas,20029,Cloud County,3182,893,4174,2289,0.762338285,0.21394346,0.548394825
Kansas,20031,Coffey County,3407,928,4448,2479,0.76596223,0.208633094,0.557329137
Kansas,20033,Comanche County,745,126,904,619,0.824115044,0.139380531,0.684734513
Kansas,20035,Cowley County,9442,4171,13911,5271,0.67874344,0.299834663,0.378908777
Kansas,20037,Crawford County,10045,6179,16718,3866,0.600849384,0.369601627,0.231247757
Kansas,20039,Decatur County,1232,208,1458,1024,0.844993141,0.14266118,0.702331962
Kansas,20041,Dickinson County,7045,2040,9246,5005,0.761951114,0.220635951,0.541315163
Kansas,20043,Doniphan County,2949,678,3674,2271,0.802667392,0.184540011,0.618127382
Kansas,20045,Douglas County,16737,39436,57540,-22699,0.290875912,0.685366701,-0.394490789
Kansas,20047,Edwards County,1127,267,1413,860,0.797593772,0.18895966,0.608634112
Kansas,20049,Elk County,1130,191,1347,939,0.838901262,0.141796585,0.697104677
Kansas,20051,Ellis County,9569,3633,13501,5936,0.708762314,0.269091178,0.439671135
Kansas,20053,Ellsworth County,2106,646,2806,1460,0.750534569,0.230220955,0.520313614
Kansas,20055,Finney County,7079,4155,11466,2924,0.617390546,0.36237572,0.255014826
Kansas,20057,Ford County,5763,2926,8850,2837,0.651186441,0.330621469,0.320564972
Kansas,20059,Franklin County,8326,3623,12247,4703,0.679839961,0.29582755,0.384012411
Kansas,20061,Geary County,5193,3825,9311,1368,0.557727419,0.410804425,0.146922994
Kansas,20063,Gove County,1256,163,1433,1093,0.876482903,0.113747383,0.76273552
Kansas,20065,Graham County,1052,222,1302,830,0.807987711,0.170506912,0.637480799
Kansas,20067,Grant County,1910,497,2452,1413,0.778955954,0.20269168,0.576264274
Kansas,20069,Gray County,1871,337,2240,1534,0.835267857,0.150446429,0.684821429
Kansas,20071,Greeley County,537,77,629,460,0.853736089,0.122416534,0.731319555
Kansas,20073,Greenwood County,2404,562,3030,1842,0.79339934,0.185478548,0.607920792
Kansas,20075,Hamilton County,684,134,837,550,0.817204301,0.160095579,0.657108722
Kansas,20077,Harper County,2128,453,2626,1675,0.810357959,0.172505712,0.637852247
Kansas,20079,Harvey County,10015,6652,17034,3363,0.587941764,0.390513091,0.197428672
Kansas,20081,Haskell County,1103,261,1383,842,0.797541576,0.188720174,0.608821403
Kansas,20083,Hodgeman County,866,151,1033,715,0.838334947,0.146176186,0.692158761
Kansas,20085,Jackson County,4435,1852,6468,2583,0.685683364,0.286332715,0.399350649
Kansas,20087,Jefferson County,6193,3106,9581,3087,0.646383467,0.324183279,0.322200188
Kansas,20089,Jewell County,1369,211,1608,1158,0.851368159,0.131218905,0.720149254
Kansas,20091,Johnson County,155631,184259,349386,-28628,0.445441432,0.52737946,-0.081938028
Kansas,20093,Kearny County,1134,255,1413,879,0.802547771,0.180467091,0.622080679
Kansas,20095,Kingman County,3102,745,3929,2357,0.789513871,0.189615678,0.599898193
Kansas,20097,Kiowa County,957,153,1139,804,0.840210711,0.134328358,0.705882353
Kansas,20099,Labette County,5639,2607,8414,3032,0.670192536,0.309840742,0.360351795
Kansas,20101,Lane County,757,114,888,643,0.852477477,0.128378378,0.724099099
Kansas,20103,Leavenworth County,21378,13753,36115,7625,0.591942406,0.380811297,0.211131109
Kansas,20105,Lincoln County,1273,266,1570,1007,0.810828025,0.169426752,0.641401274
Kansas,20107,Linn County,3940,863,4903,3077,0.803589639,0.176014685,0.627574954
Kansas,20109,Logan County,1231,185,1437,1046,0.85664579,0.128740431,0.727905358
Kansas,20111,Lyon County,7381,5878,13622,1503,0.541844076,0.431507855,0.110336221
Kansas,20113,McPherson County,9562,3977,13868,5585,0.68950101,0.28677531,0.402725699
Kansas,20115,Marion County,4377,1463,5969,2914,0.733288658,0.245099682,0.488188976
Kansas,20117,Marshall County,3662,1239,5023,2423,0.729046387,0.246665339,0.482381047
Kansas,20119,Meade County,1508,261,1807,1247,0.834532374,0.144438296,0.690094079
Kansas,20121,Miami County,12116,5133,17624,6983,0.68747163,0.291250567,0.396221062
Kansas,20123,Mitchell County,2454,547,3039,1907,0.807502468,0.179993419,0.627509049
Kansas,20125,Montgomery County,9768,3147,13177,6621,0.741291645,0.238825226,0.502466419
Kansas,20127,Morris County,2085,721,2849,1364,0.731835732,0.253071253,0.478764479
Kansas,20129,Morton County,1004,147,1163,857,0.863284609,0.126397248,0.73688736
Kansas,20131,Nemaha County,4612,920,5625,3692,0.819911111,0.163555556,0.656355556
Kansas,20133,Neosho County,4795,1727,6629,3068,0.723336853,0.260521949,0.462814904
Kansas,20135,Ness County,1315,147,1487,1168,0.884330868,0.098856759,0.785474109
Kansas,20137,Norton County,1977,361,2390,1616,0.827196653,0.151046025,0.676150628
Kansas,20139,Osage County,5591,2099,7893,3492,0.70834917,0.265931838,0.442417332
Kansas,20141,Osborne County,1590,275,1899,1315,0.83728278,0.14481306,0.692469721
Kansas,20143,Ottawa County,2581,504,3159,2077,0.817030706,0.15954416,0.657486546
Kansas,20145,Pawnee County,2028,635,2712,1393,0.747787611,0.234144543,0.513643068
Kansas,20147,Phillips County,2388,318,2752,2070,0.867732558,0.115552326,0.752180233
Kansas,20149,Pottawatomie County,9247,3257,12815,5990,0.721576278,0.254155287,0.467420991
Kansas,20151,Pratt County,3087,924,4107,2163,0.751643535,0.224981738,0.526661797
Kansas,20153,Rawlins County,1253,214,1496,1039,0.837566845,0.143048128,0.694518717
Kansas,20155,Reno County,17948,8602,27245,9346,0.658763076,0.315727656,0.343035419
Kansas,20157,Republic County,2172,420,2643,1752,0.821793417,0.158910329,0.662883087
Kansas,20159,Rice County,3187,953,4230,2234,0.753427896,0.225295508,0.528132388
Kansas,20161,Riley County,11174,11940,23855,-766,0.468413331,0.500523999,-0.032110669
Kansas,20163,Rooks County,2294,332,2661,1962,0.862081924,0.124765126,0.737316798
Kansas,20165,Rush County,1425,291,1748,1134,0.815217391,0.166475973,0.648741419
Kansas,20167,Russell County,2765,591,3429,2174,0.806357539,0.172353456,0.634004083
Kansas,20169,Saline County,15313,8022,23911,7291,0.640416545,0.335494124,0.304922421
Kansas,20171,Scott County,1991,290,2322,1701,0.857450474,0.124892334,0.73255814
Kansas,20173,Sedgwick County,117653,90820,213552,26833,0.55093373,0.425282835,0.125650895
Kansas,20175,Seward County,3285,1736,5099,1549,0.644243969,0.340458914,0.303785056
Kansas,20177,Shawnee County,40443,43015,86122,-2572,0.469601263,0.499465874,-0.029864611
Kansas,20179,Sheridan County,1237,144,1397,1093,0.885468862,0.103078024,0.782390838
Kansas,20181,Sherman County,2222,386,2673,1836,0.83127572,0.144407033,0.686868687
Kansas,20183,Smith County,1734,328,2092,1406,0.828871893,0.156787763,0.67208413
Kansas,20185,Stafford County,1631,355,2017,1276,0.808626673,0.176003966,0.632622707
Kansas,20187,Stanton County,607,147,767,460,0.791395046,0.191655802,0.599739244
Kansas,20189,Stevens County,1731,233,1997,1498,0.8668002,0.116675013,0.750125188
Kansas,20191,Sumner County,7998,2551,10779,5447,0.74199833,0.236663883,0.505334447
Kansas,20193,Thomas County,3106,622,3794,2484,0.818661044,0.163943068,0.654717976
Kansas,20195,Trego County,1341,238,1603,1103,0.836556457,0.148471616,0.688084841
Kansas,20197,Wabaunsee County,2813,956,3861,1857,0.728567729,0.247604248,0.480963481
Kansas,20199,Wallace County,762,44,817,718,0.932680539,0.053855569,0.878824969
Kansas,20201,Washington County,2332,467,2843,1865,0.820260288,0.164263102,0.655997186
Kansas,20203,Wichita County,803,147,961,656,0.835587929,0.152965661,0.682622268
Kansas,20205,Wilson County,3111,711,3899,2400,0.797896897,0.18235445,0.615542447
Kansas,20207,Woodson County,1189,283,1495,906,0.795317726,0.189297659,0.606020067
Kansas,20209,Wyandotte County,18512,35566,55107,-17054,0.335928285,0.645398951,-0.309470666
Kentucky,21001,Adair County,7276,1392,8768,5884,0.829835766,0.158759124,0.671076642
Kentucky,21003,Allen County,7587,1642,9364,5945,0.810230671,0.175352413,0.634878257
Kentucky,21005,Anderson County,9661,3348,13254,6313,0.728912027,0.252602988,0.476309039
Kentucky,21007,Ballard County,3356,825,4225,2531,0.794319527,0.195266272,0.599053254
Kentucky,21009,Barren County,14654,5127,20064,9527,0.730362839,0.255532297,0.474830542
Kentucky,21011,Bath County,3986,1573,5627,2413,0.708370357,0.279545051,0.428825307
Kentucky,21013,Bell County,8140,1789,10044,6351,0.81043409,0.178116288,0.632317802
Kentucky,21015,Boone County,44814,20901,66998,23913,0.668885638,0.311964536,0.356921102
Kentucky,21017,Bourbon County,6190,3296,9648,2894,0.641583748,0.341625207,0.299958541
Kentucky,21019,Boyd County,14295,7083,21751,7212,0.657211163,0.3256402,0.331570962
Kentucky,21021,Boyle County,8872,5298,14478,3574,0.612791822,0.365934521,0.246857301
Kentucky,21023,Bracken County,3398,800,4246,2598,0.800282619,0.188412624,0.611869995
Kentucky,21025,Breathitt County,4265,1301,5661,2964,0.753400459,0.229818053,0.523582406
Kentucky,21027,Breckinridge County,7701,2350,10201,5351,0.754925988,0.230369572,0.524556416
Kentucky,21029,Bullitt County,30708,10552,41998,20156,0.731177675,0.25125006,0.479927616
Kentucky,21031,Butler County,4960,1079,6125,3881,0.809795918,0.176163265,0.633632653
Kentucky,21033,Caldwell County,4906,1433,6434,3473,0.762511657,0.222723034,0.539788623
Kentucky,21035,Calloway County,11352,5797,17457,5555,0.650283554,0.332073094,0.31821046
Kentucky,21037,Campbell County,28482,19374,48878,9108,0.58271615,0.396374647,0.186341503
Kentucky,21039,Carlisle County,2159,463,2638,1696,0.818423048,0.175511751,0.642911296
Kentucky,21041,Carroll County,2954,1116,4136,1838,0.714216634,0.269825919,0.444390716
Kentucky,21043,Carter County,8775,2642,11586,6133,0.757379596,0.228033834,0.529345762
Kentucky,21045,Casey County,6179,918,7171,5261,0.86166504,0.128015618,0.733649421
Kentucky,21047,Christian County,15080,8296,23863,6784,0.631940661,0.347651175,0.284289486
Kentucky,21049,Clark County,11811,6004,18139,5807,0.651138431,0.330999504,0.320138927
Kentucky,21051,Clay County,6677,831,7591,5846,0.879594256,0.109471743,0.770122514
Kentucky,21053,Clinton County,4280,603,4932,3677,0.867802109,0.122262774,0.745539335
Kentucky,21055,Crittenden County,3451,731,4242,2720,0.813531353,0.172324375,0.641206978
Kentucky,21057,Cumberland County,2769,508,3309,2261,0.836808704,0.153520701,0.683288002
Kentucky,21059,Daviess County,31025,17286,49287,13739,0.629476333,0.350721286,0.278755047
