Client County Name,Estimated Coverage (12+ 1 Dose),Estimated Coverage (12+ Fully),Estimated Coverage (65+ 1 Dose),Estimated Coverage (65+ Fully),Percentage of Population Vaccinated,County Name ,PHR Critical Pop,Latitude (generated),Longitude (generated),FULLY_VACCINATED_CALC,Population 16Up,TOTAL_PEOPLE_CALC
MEDINA,0.627483444,0.558582056,0.793650794,72.94%,0.627483444,Medina,8,29.4024,-99.1087,24629,41263,27667
MENARD,0.569385593,0.518538136,0.673819742,64.09%,0.569385593,Menard,09-Oct,30.9164,-99.8004,979,1790,1075
MIDLAND,0.544793606,0.465188059,0.770907908,70.06%,0.544793606,Midland,09-Oct,31.8364,-102.0316,65712,131025,76957
MILAM,0.533304888,0.468638885,0.756530029,71.34%,0.533304888,Milam,7,30.7849,-96.9758,9885,19689,11249
MILLS,0.490334748,0.421970769,0.68079096,61.09%,0.490334748,Mills,7,31.4778,-98.6518,1790,4006,2080
MITCHELL,0.421767774,0.373593192,0.675138999,60.68%,0.421767774,Mitchell,02-Mar,32.2991,-100.9214,2722,6958,3073
MONTAGUE,0.433337298,0.365247383,0.698019802,63.64%,0.433337298,Montague,02-Mar,33.7131,-97.732,6142,15872,7287
MONTGOMERY,0.673821517,0.577346331,0.866837718,77.67%,0.673821517,Montgomery,6/5S,30.3293,-95.5146,290441,467232,338974
MOORE,0.595637073,0.464749254,0.803962901,70.11%,0.595637073,Moore,1,35.8374,-101.8929,7627,14986,9775
MORRIS,0.518997033,0.441477653,0.764102564,69.60%,0.518997033,Morris,4/5N,33.1234,-94.7341,4613,9830,5423
MOTLEY,0.402473834,0.26641294,0.684782609,45.65%,0.402473834,Motley,1,34.0728,-100.7798,280,994,423
NACOGDOCHES,0.549971508,0.457895995,0.827388727,75.45%,0.549971508,Nacogdoches,4/5N,31.5347,-94.5952,24910,51773,29919
NAVARRO,0.567206841,0.485260277,0.796092937,71.15%,0.567206841,Navarro,02-Mar,32.0628,-96.4755,20033,38360,23416
NEWTON,0.287600942,0.249579408,0.503822099,45.27%,0.287600942,Newton,4/5N,30.7161,-93.745,2967,11298,3419
NOLAN,0.519993445,0.461733858,0.804165144,76.21%,0.519993445,Nolan,02-Mar,32.3092,-100.4063,5635,11321,6346
NUECES,0.688892989,0.592588077,0.846141042,76.15%,0.688892989,Nueces,11,27.7778,-97.6629,179841,284366,209068
OCHILTREE,0.484386998,0.424366522,0.764808362,71.69%,0.484386998,Ochiltree,1,36.2819,-100.8158,3316,7106,3785
OLDHAM,0.393875396,0.335797254,0.765822785,69.62%,0.393875396,Oldham,1,35.4003,-102.6039,636,1728,746
ORANGE,0.446532084,0.378687815,0.720445772,64.65%,0.446532084,Orange,6/5S,30.1075,-93.8955,26262,65087,30967
PALO PINTO,0.44852138,0.390994781,0.693704395,64.21%,0.44852138,Palo Pinto,02-Mar,32.7706,-98.3186,9665,23207,11087
PANOLA,0.421550286,0.360469232,0.652211811,59.14%,0.421550286,Panola,4/5N,32.1837,-94.3114,7129,18462,8337
PARKER,0.535869502,0.475644579,0.824414491,76.20%,0.535869502,Parker,02-Mar,32.7816,-97.8046,56801,111686,63993
PARMER,0.485414534,0.426305015,0.704978038,64.35%,0.485414534,Parmer,1,34.5279,-102.7843,3332,7222,3794
PECOS,0.725152905,0.617737003,0.845399346,77.63%,0.725152905,Pecos,09-Oct,30.7143,-102.6595,8080,12317,9485
POLK,0.496575805,0.42746114,0.859344498,77.41%,0.496575805,Polk,4/5N,30.8186,-94.897,18975,42276,22043
POTTER,0.551058537,0.454661866,0.833651253,73.37%,0.551058537,Potter,1,35.3994,-101.8943,43317,88673,52501
PRESIDIO,0.9999,0.983864985,0.945034354,86.38%,0.9999,Presidio,09-Oct,29.9461,-104.2391,5305,5069,6278
RAINS,0.420077792,0.363956288,0.6039065,54.98%,0.420077792,Rains,4/5N,32.8458,-95.8013,3930,10277,4536
RANDALL,0.535219156,0.463160978,0.788788275,71.75%,0.535219156,Randall,1,34.9643,-101.8967,53754,108431,62117
REAGAN,0.525990903,0.450292398,0.761124122,71.66%,0.525990903,Reagan,09-Oct,31.3693,-101.523,1386,2841,1619
REAL,0.550162866,0.486319218,0.765432099,71.51%,0.550162866,Real,8,29.853,-99.8126,1493,2943,1689
RED RIVER,0.463349282,0.400861244,0.683639947,63.57%,0.463349282,Red River,4/5N,33.6418,-95.0283,4189,9965,4842
REEVES,0.934271953,0.476398666,0.799787007,76.46%,0.934271953,Reeves,09-Oct,31.3853,-103.6537,6429,12781,12608
REFUGIO,0.637899004,0.571862861,0.792826221,74.27%,0.637899004,Refugio,11,28.3093,-97.1471,3386,5583,3777
ROBERTS,0.361643836,0.330136986,0.601036269,55.96%,0.361643836,Roberts,1,35.8244,-100.8135,241,672,264
ROBERTSON,0.537598439,0.459265454,0.754103165,67.41%,0.537598439,Robertson,7,31.0267,-96.5129,6590,13474,7714
ROCKWALL,0.71099809,0.606160679,0.930869728,83.55%,0.71099809,Rockwall,02-Mar,32.8972,-96.4077,52679,80325,61790
RUNNELS,0.520513408,0.466307587,0.794240595,74.73%,0.520513408,Runnels,02-Mar,31.839,-99.9766,4069,8184,4542
