COVID-19 Vaccinations Equity
Date generated: Mon Oct 04 2021 17:46:26 GMT+0100 (British Summer Time)
County,State,SVI,County of Residence Reporting Completeness,Percent of total population fully vaccinated,Percent of 12+ pop fully vaccinated,Percent of 18+ pop fully vaccinated,Percent of 65+ pop fully vaccinated
Autauga County,AL ,Low-Mod,92.5,34,39.9,41.8,61.7
Baldwin County,AL ,Low,92.5,42.7,49.5,51.9,75.3
Barbour County,AL ,High,92.5,35.7,41.1,43,66.1
Bibb County,AL ,Mod-High,92.5,29.7,34.2,35.7,57
Blount County,AL ,Low-Mod,92.5,26.4,31,32.9,49.5
Bullock County,AL ,High,92.5,43.1,50.2,51.5,72.9
Butler County,AL ,High,92.5,33.8,39.4,41.4,59.3
Calhoun County,AL ,High,92.5,39.5,45.9,48.3,74.1
Chambers County,AL ,Mod-High,92.5,26.8,31.1,32.6,48.5
Cherokee County,AL ,Low-Mod,92.5,27.4,31.1,32.8,50.2
Chilton County,AL ,High,92.5,30,35.6,37.5,59.9
Choctaw County,AL ,High,92.5,55.7,63.5,67.1,87.5
Clarke County,AL ,High,92.5,44.4,51.4,53.8,73.3
Clay County,AL ,Mod-High,92.5,36.2,41.8,44,58.7
Cleburne County,AL ,Mod-High,92.5,26.7,31.3,33.4,53.5
Coffee County,AL ,Mod-High,92.5,33,39,41.4,68.7
Colbert County,AL ,Low-Mod,92.5,42,48.7,50.6,73
Conecuh County,AL ,High,92.5,35.9,41.5,43.6,59
Coosa County,AL ,Mod-High,92.5,35,39.2,40.7,59.9
Covington County,AL ,High,92.5,33,38.5,40.7,61.1
Crenshaw County,AL ,Mod-High,92.5,29.4,34.5,36.9,59.2
Cullman County,AL ,Mod-High,92.5,33.6,39.5,41.9,66.4
Dale County,AL ,High,92.5,44.9,53.1,56.6,72.2
Dallas County,AL ,High,92.5,36.1,42.5,44.8,63.4
DeKalb County,AL ,High,92.5,28,33,35.5,54.6
Elmore County,AL ,Mod-High,92.5,37,43.3,45.7,75.4
Escambia County,AL ,High,92.5,30.8,36.1,38.4,65.4
Etowah County,AL ,Mod-High,92.5,35,40.7,42.8,65.6
Fayette County,AL ,Mod-High,92.5,29.8,34.6,36.5,56.2
Franklin County,AL ,High,92.5,37.7,45.1,48.1,74.2
Geneva County,AL ,High,92.5,32.9,38.3,41.2,67.4
Greene County,AL ,High,92.5,41.4,48.2,50.5,66.9
Hale County,AL ,High,92.5,52.5,62.2,64.4,78.6
Henry County,AL ,Mod-High,92.5,38.4,44.1,46.8,67.5
Houston County,AL ,Mod-High,92.5,36.6,43.1,45.6,69.5
Jackson County,AL ,Mod-High,92.5,41.2,47.4,50.2,77.4
Jefferson County,AL ,Mod-High,92.5,49.1,58,60,84.3
Lamar County,AL ,Mod-High,92.5,37.6,43.5,46.6,71
Lauderdale County,AL ,Low-Mod,92.5,40.2,46,48.2,70.6
Lawrence County,AL ,Low-Mod,92.5,40.6,47.2,50.1,78.2
Lee County,AL ,Mod-High,92.5,33.7,39.2,40.6,60.5
Limestone County,AL ,Mod-High,92.5,31.6,36.8,39,65.5
Lowndes County,AL ,High,92.5,41,48.2,50,70
Macon County,AL ,High,92.5,40,45.1,45.8,64.6
Madison County,AL ,Low-Mod,92.5,51.8,60.3,62.1,84.7
Marengo County,AL ,High,92.5,47.2,55.4,57.8,76.4
Marion County,AL ,Mod-High,92.5,31.4,36.2,38.5,58.8
Marshall County,AL ,Mod-High,92.5,38.5,46.2,49.2,75.3
Mobile County,AL ,High,92.5,41.6,49.3,51.5,73.6
Monroe County,AL ,Mod-High,92.5,37.3,42.9,45.1,59.8
Montgomery County,AL ,High,92.5,43.9,52.1,53.9,71.8
Morgan County,AL ,Mod-High,92.5,37.3,43.8,46.5,72.5
Perry County,AL ,High,92.5,41.8,48.5,49.9,66.9
Pickens County,AL ,High,92.5,41.4,47.4,49.3,66.6
Pike County,AL ,High,92.5,35.1,40.2,41.3,74.9
Randolph County,AL ,Mod-High,92.5,28.5,33.1,35.6,57.4
Russell County,AL ,High,92.5,32.2,38.5,40.3,69.7
Shelby County,AL ,Low,92.5,30.9,36.2,37.5,47.9
St. Clair County,AL ,Low-Mod,92.5,33.6,39.5,41.7,65.7
Sumter County,AL ,High,92.5,42.4,48.6,49.4,71.2
Talladega County,AL ,High,92.5,31.6,36.5,38.4,60.4
Tallapoosa County,AL ,High,92.5,33.8,39.1,41,61.8
Tuscaloosa County,AL ,Mod-High,92.5,37.5,43.8,45,71.5
Walker County,AL ,Mod-High,92.5,40.6,47.7,50.4,76.5
Washington County,AL ,Mod-High,92.5,40.7,47.1,50.2,76
Wilcox County,AL ,High,92.5,45,52.9,55.2,71.5
Winston County,AL ,Mod-High,92.5,19.1,21.9,23.3,36.5
Aleutians East Borough,AK ,Mod-High,96.6,68.3,71.9,70.8,45.6
Aleutians West CA,AK ,Low-Mod,96.6,54.6,59.2,59.1,58.2
Anchorage Muny,AK ,Low-Mod,96.6,54.3,64.8,66.6,87.3
Bethel CA,AK ,High,96.6,56.2,74.5,76.7,83.8
Bristol Bay Borough,AK ,Low-Mod,96.6,90,99.9,99.9,86
Denali Borough,AK ,Low,96.6,45.6,52.4,53.1,74.8
Dillingham CA,AK ,High,96.6,42.5,54.7,54.8,67
Fairbanks North Star Borough,AK ,Low-Mod,96.6,46.3,55.5,57,73.5
Haines Borough,AK ,Low,96.6,62.7,70.1,72.8,81.9
Hoonah-Angoon CA,AK ,Low-Mod,96.6,64.6,72.7,72.7,79.7
Juneau Cty&Bor,AK ,Low-Mod,96.6,64.6,74.8,75.6,93.3
Kenai Peninsula Borough,AK ,Low-Mod,96.6,40.4,47.4,49.8,72
Ketchikan Gateway Borough,AK ,Mod-High,96.6,56.7,65.9,67.4,82.3
Kodiak Island Borough,AK ,Mod-High,96.6,55.8,67.5,68.9,90.4
Kusilvak Census Area,AK ,High,96.6,56.9,null,81.6,91.7
Lake and Peninsula Borough,AK ,High,96.6,50.3,62.4,64,69.9
Matanuska-Susitna Borough,AK ,Low-Mod,96.6,31.7,38.2,40.1,63.4
Nome CA,AK ,High,96.6,60.6,79.7,80.8,89
North Slope Borough,AK ,Mod-High,96.6,32.5,39.8,39.9,59.4
Northwest Arctic Borough,AK ,High,96.6,49.6,66.5,68,84.2
Petersburg CA,AK ,Mod-High,96.6,65.5,76.3,77.3,88.7
Prince of Wales-Hyder CA,AK ,High,96.6,47.6,55.6,56.4,69.1
Sitka Cty&Bor,AK ,Low-Mod,96.6,68.1,78.6,79.6,90.2
Skagway Muny,AK ,Low,96.6,66.3,75,74,78.6
Southeast Fairbanks CA,AK ,Mod-High,96.6,27,32.6,33.9,59.7
Wrangell Cty&Bor,AK ,Mod-High,96.6,51.9,59.7,61.9,66.3
Yakutat Cty&Bor,AK ,Mod-High,96.6,69.1,78.9,79.9,77
Yukon-Koyukuk CA,AK ,High,96.6,60.5,75.3,75.7,83.9
Apache County,AZ ,High,97.6,71.1,86.1,81.8,89.2
Cochise County,AZ ,High,97.6,53,61.7,63.6,72.3
Coconino County,AZ ,Mod-High,97.6,67,77.2,77,99.9
Gila County,AZ ,High,97.6,51,58.7,60.6,67.7
Graham County,AZ ,High,97.6,52.9,64.4,67.6,93.5
Greenlee County,AZ ,Mod-High,97.6,36.6,44.8,48.2,67.5
La Paz County,AZ ,High,97.6,40.7,45.7,46.5,53.8
Maricopa County,AZ ,Mod-High,97.6,48.2,56.9,58.7,76.7
Mohave County,AZ ,High,97.6,35.4,39.7,41.5,56.7
Navajo County,AZ ,High,97.6,60.5,73.1,71.9,84.8
Pima County,AZ ,High,97.6,57.9,66.9,68.3,86.7
Pinal County,AZ ,High,97.6,44.6,52,53.9,70.4
Santa Cruz County,AZ ,High,97.6,89,99.9,99.9,99.9
Yavapai County,AZ ,Mod-High,97.6,39.6,44.1,45.7,61.9
Yuma County,AZ ,High,97.6,56.6,68,69.4,70.7
Arkansas County,AR ,High,90.2,49.1,58.1,59.9,73.3
Ashley County,AR ,High,90.2,43.5,51,53.2,73.7
Baxter County,AR ,Low-Mod,90.2,41.8,47,48.9,63.2
Benton County,AR ,Low-Mod,90.2,44.1,53.2,54.4,67.4
Boone County,AR ,Low-Mod,90.2,32.2,37.9,39.7,59.6
Bradley County,AR ,High,90.2,49.8,59.1,61.2,78
Calhoun County,AR ,Mod-High,90.2,31.5,36,37.4,53.1
Carroll County,AR ,Mod-High,90.2,38.4,44.7,46.6,56.7
Chicot County,AR ,High,90.2,48,55.8,58.5,81.6
Clark County,AR ,High,90.2,43.3,49.6,49.9,80
Clay County,AR ,Mod-High,90.2,40.3,46.7,48.7,70.6
Cleburne County,AR ,Low,90.2,39.1,44.3,46.3,66.1
Cleveland County,AR ,Mod-High,90.2,46.1,52.9,55.2,68.1
Columbia County,AR ,High,90.2,40.7,47.2,48.2,69.5
Conway County,AR ,High,90.2,47.4,55.7,57.2,74.6
Craighead County,AR ,High,90.2,37.4,44.9,46,62.8
Crawford County,AR ,Mod-High,90.2,39.7,47,48.9,66.8
Crittenden County,AR ,High,90.2,36.2,44.2,45.8,58.9
Cross County,AR ,Mod-High,90.2,44.6,52.7,54.5,71.1
Dallas County,AR ,High,90.2,50.2,58,59,72.2
Desha County,AR ,High,90.2,50.7,59.9,62.7,80.2
Drew County,AR ,High,90.2,42,49.1,50.2,66.5
Faulkner County,AR ,Low-Mod,90.2,42.5,49.9,50.8,77.2
Franklin County,AR ,Mod-High,90.2,43,50.1,52,70
Fulton County,AR ,Mod-High,90.2,28.2,32.6,34.2,42.2
Garland County,AR ,High,90.2,39.4,45.3,46.4,66.5
Grant County,AR ,Low-Mod,90.2,39.9,46.3,48.4,65.3
Greene County,AR ,Mod-High,90.2,37.5,44.6,46.5,66.9
Hempstead County,AR ,High,90.2,28.3,34.2,36.9,45
Hot Spring County,AR ,High,90.2,37.8,43.4,44.6,63.6
Howard County,AR ,High,90.2,45.7,55.5,59.4,76
Independence County,AR ,High,90.2,34.7,41.4,43,60.9
Izard County,AR ,Mod-High,90.2,32.8,37,37.7,47
Jackson County,AR ,High,90.2,33.2,38.2,39.9,65.2
Jefferson County,AR ,High,90.2,35.7,41.6,42.5,59.5
Johnson County,AR ,High,90.2,41.9,50,51.9,66.2
Lafayette County,AR ,High,90.2,34.1,38.6,40.6,51.4
Lawrence County,AR ,Mod-High,90.2,39.2,45.8,47.5,67.7
Lee County,AR ,High,90.2,28.7,32.7,34.2,60.3
Lincoln County,AR ,High,90.2,30.5,34,34.6,63.1
Little River County,AR ,Mod-High,90.2,26.3,30.7,33.1,53.4
Logan County,AR ,High,90.2,40.6,46.9,49,69.6
Lonoke County,AR ,Low-Mod,90.2,41.6,49.7,51.3,75.9
Madison County,AR ,Mod-High,90.2,37.2,43.8,45.8,63.1
Marion County,AR ,Mod-High,90.2,31,35.2,36.9,49
Miller County,AR ,High,90.2,12.5,14.8,15.7,26.3
Mississippi County,AR ,High,90.2,34.4,41.5,43.9,66.8
Monroe County,AR ,High,90.2,47.8,55.7,56.5,65.4
Montgomery County,AR ,Mod-High,90.2,32.6,37,39,56.8
Nevada County,AR ,High,90.2,34.5,40.3,42.8,50.8
Newton County,AR ,Low-Mod,90.2,28.9,32.9,34.7,48.9
Ouachita County,AR ,High,90.2,47,54.8,56.7,73.5
Perry County,AR ,Mod-High,90.2,46.3,54.2,55.9,74.6
Phillips County,AR ,High,90.2,42.4,51.2,53.8,71.2
Pike County,AR ,Mod-High,90.2,36.9,42.8,45.1,65.5
Poinsett County,AR ,High,90.2,37.8,44.8,46.4,62.3
Polk County,AR ,High,90.2,29.9,35,37.1,46.4
Pope County,AR ,High,90.2,43.4,51.1,52.2,71.9
Prairie County,AR ,Mod-High,90.2,37.4,43.4,44.9,53.9
Pulaski County,AR ,Mod-High,90.2,49.5,58.5,59.3,75.5
Randolph County,AR ,Mod-High,90.2,34.2,40.6,42.8,60.1
Saline County,AR ,Low-Mod,90.2,42.8,50.2,51.3,59.2
Scott County,AR ,High,90.2,40.2,47.2,50,60.9
Searcy County,AR ,Low-Mod,90.2,34.8,39.8,41.7,60.4
Sebastian County,AR ,High,90.2,42.3,50.2,51.5,63.7
Sevier County,AR ,High,90.2,37.2,45.9,48.4,64.9
Sharp County,AR ,Mod-High,90.2,33.8,38.9,40.4,54.8
St. Francis County,AR ,High,90.2,42.8,49.7,52.4,72.3
Stone County,AR ,Mod-High,90.2,32.7,37.2,38.9,53.4
Union County,AR ,High,90.2,40.9,48.5,50.8,70.2
Van Buren County,AR ,Mod-High,90.2,38.1,43.3,45.5,63.1
Washington County,AR ,Mod-High,90.2,46.3,55.1,55.5,75
White County,AR ,Mod-High,90.2,39.4,46.3,47.9,73.6
Woodruff County,AR ,High,90.2,50.7,59,61.1,76.7
Yell County,AR ,High,90.2,42,49.7,51.3,64.5
Alameda County,CA ,Low-Mod,97.4,69.7,80.4,80.5,87.4
Alpine County,CA ,Mod-High,null,null,null,null,null
Amador County,CA ,Mod-High,97.4,47.2,52.3,53.7,76.3
Butte County,CA ,High,97.4,45.7,52.7,54.2,72.1
Calaveras County,CA ,Low,97.4,52,58.2,60.6,81.7
Colusa County,CA ,Mod-High,97.4,49.8,60.3,63.9,75.5
Contra Costa County,CA ,Low-Mod,97.4,69.5,80.8,81.8,90.2
Del Norte County,CA ,High,97.4,35.8,41.4,43,66
El Dorado County,CA ,Low,97.4,54.9,62.4,64,78.3
Fresno County,CA ,High,97.4,49.8,61.3,63.7,82
Glenn County,CA ,High,97.4,45.7,55.4,58.1,81.6
Humboldt County,CA ,High,97.4,56.8,64.7,65.7,81
Imperial County,CA ,High,97.4,67.4,83.3,83,82.5
Inyo County,CA ,Mod-High,null,null,null,null,null
Kern County,CA ,High,97.4,42.2,52.1,54.2,73.3
Kings County,CA ,High,97.4,36.4,44.5,45.8,67.9
Lake County,CA ,High,97.4,51,59.4,61.8,74.7
Lassen County,CA ,Mod-High,97.4,30.9,35,36.5,70.2
Los Angeles County,CA ,High,97.4,59.9,69.7,70.5,77.1
Madera County,CA ,High,97.4,43.4,53,55,75.5
Marin County,CA ,Low-Mod,97.4,77,87.3,87.4,88.3
Mariposa County,CA ,Mod-High,null,null,null,null,null
Mendocino County,CA ,High,97.4,58.3,67.6,69.5,79.6
Merced County,CA ,High,97.4,40.8,50.4,53.2,72.9
Modoc County,CA ,High,null,null,null,null,null
Mono County,CA ,Low,null,null,null,null,null
Monterey County,CA ,High,97.4,58.4,70.5,71.8,78.1
Napa County,CA ,Mod-High,97.4,66.5,75.9,76.8,84.8
Nevada County,CA ,Low,97.4,55,61.6,62.6,70.3
Orange County,CA ,Low-Mod,97.4,61.5,71.5,72.6,82.8
Placer County,CA ,Low,97.4,57.7,66.9,68.6,83.3
Plumas County,CA ,Low-Mod,null,null,null,null,null
Riverside County,CA ,High,97.4,49,58.3,60.1,76.3
Sacramento County,CA ,Mod-High,97.4,56.4,66.6,68.1,83.7
San Benito County,CA ,Mod-High,97.4,53.8,64.3,65.4,74.4
San Bernardino County,CA ,High,97.4,47.4,57.1,59.2,75.7
San Diego County,CA ,Mod-High,97.4,50,58.3,58.6,63
San Francisco County,CA ,Low-Mod,97.4,73.6,81.1,80.7,83.3
San Joaquin County,CA ,High,97.4,49.8,60.3,63,85.9
San Luis Obispo County,CA ,Low-Mod,97.4,51.9,58.4,59.1,72.9
San Mateo County,CA ,Low-Mod,97.4,71.7,82.5,82.7,86.3
Santa Barbara County,CA ,Mod-High,97.4,59.8,70.1,71.3,82.6
Santa Clara County,CA ,Low-Mod,97.4,74.2,86.2,86.6,89.5
Santa Cruz County,CA ,Mod-High,97.4,68.4,77.8,77.8,90.2
Shasta County,CA ,Mod-High,97.4,41.5,48.4,50.6,70
Sierra County,CA ,Low,null,null,null,null,null
Siskiyou County,CA ,Mod-High,97.4,46.5,53.6,56.1,73.3
Solano County,CA ,Mod-High,97.4,55.7,65.1,66.3,77.4
Sonoma County,CA ,Low-Mod,97.4,67.2,76.4,77.3,83.9
Stanislaus County,CA ,High,97.4,46.6,56.5,59,75.6
Sutter County,CA ,High,97.4,49.4,59.3,62,77.5
Tehama County,CA ,High,97.4,34.1,40.3,42.6,58.4
Trinity County,CA ,Mod-High,null,null,null,null,null
Tulare County,CA ,High,97.4,42.2,52.8,55.8,74
Tuolumne County,CA ,Low-Mod,97.4,51.3,57.6,59.8,85.6
Ventura County,CA ,Low-Mod,97.4,61.6,71.9,73.3,85.1
Yolo County,CA ,Mod-High,97.4,59.2,68.3,68.9,89.5
Yuba County,CA ,High,97.4,42,51.7,54.2,71.4
Adams County,CO ,Mod-High,97.4,57.3,69,70.7,83.7
Alamosa County,CO ,High,97.4,48.2,57.6,59.2,88.4
Arapahoe County,CO ,Low-Mod,97.4,57.7,67.8,68.7,81.4
Archuleta County,CO ,Low-Mod,97.4,50.7,57.2,59.3,73.1
Baca County,CO ,Mod-High,97.4,35.2,41.4,44.2,61.7
Bent County,CO ,High,97.4,22,24.4,24.8,36.6
Boulder County,CO ,Low,97.4,68.5,77.2,77.6,90.3
Broomfield County,CO ,Low,97.4,70.3,81.2,81.9,94.7
Chaffee County,CO ,Low,97.4,56.8,62.8,64.1,79.9
Cheyenne County,CO ,Low-Mod,97.4,27.9,33.8,36.6,56.4
Clear Creek County,CO ,Low,97.4,43.5,48.2,48.5,59.9
Conejos County,CO ,High,97.4,41.5,49.6,51.9,72.7
Costilla County,CO ,High,97.4,53.6,60.8,62.9,73.5
Crowley County,CO ,High,97.4,18.6,20,20.2,51.6
Custer County,CO ,Low,97.4,42.4,46.7,48.5,68.8
Delta County,CO ,Mod-High,97.4,41.6,47.5,50.1,71.6
Denver County,CO ,Low-Mod,97.4,65.2,75,75.6,79.4
Dolores County,CO ,Low,97.4,36.6,41.7,44.4,56.3
Douglas County,CO ,Low,97.4,63.1,74.2,76,91.2
Eagle County,CO ,Low,97.4,70.9,81.8,83.4,87.2
El Paso County,CO ,Low-Mod,97.4,53,62.8,64.8,82.5
Elbert County,CO ,Low,97.4,31.9,36.5,38.1,52.6
Fremont County,CO ,Mod-High,97.4,37.2,41.5,43.4,68.2
Garfield County,CO ,Low-Mod,97.4,54.8,65.4,67.1,79.9
Gilpin County,CO ,Low,97.4,52.1,56.9,57.9,76.4
Grand County,CO ,Low,97.4,55.3,61.6,63.6,69.7
Gunnison County,CO ,Low,97.4,60.7,67.8,68.8,88.6
Hinsdale County,CO ,Low,97.4,51.6,57.5,58.5,69
Huerfano County,CO ,Mod-High,97.4,47.7,53,55.5,70.7
Jackson County,CO ,Low,97.4,39.4,44.5,46,68.8
Jefferson County,CO ,Low,97.4,67.9,77.4,78.4,90.1
Kiowa County,CO ,Low-Mod,97.4,33.1,39.6,42.3,67.3
Kit Carson County,CO ,Mod-High,97.4,33.4,39.9,43.1,67.9
La Plata County,CO ,Low,97.4,62.9,71.3,72.4,89
Lake County,CO ,Low-Mod,97.4,52.3,60,61,69.1
Larimer County,CO ,Low,97.4,59.6,67.9,69,86.7
Las Animas County,CO ,High,97.4,53.5,60.4,62.6,81.1
Lincoln County,CO ,Low-Mod,97.4,30.9,35.7,37.4,60.9
Logan County,CO ,Mod-High,97.4,31.9,36.2,37.7,64
Mesa County,CO ,Mod-High,97.4,42.8,49.6,51.6,75.8
Mineral County,CO ,Low,97.4,70,77.1,79.6,87.6
Moffat County,CO ,Mod-High,97.4,36.4,43.9,46.8,65.7
Montezuma County,CO ,Low-Mod,97.4,53,61.7,63.9,75.9
Montrose County,CO ,Mod-High,97.4,41.1,47.7,49.9,70.1
Morgan County,CO ,Mod-High,97.4,39.4,47.8,50.4,67.7
Otero County,CO ,High,97.4,41.1,48.3,51.8,72.2
Ouray County,CO ,Low,97.4,57.1,62.7,63.5,68.2
Park County,CO ,Low,97.4,42.4,46.7,47.9,61
Phillips County,CO ,Low-Mod,97.4,44,51.8,56.5,64.8
Pitkin County,CO ,Low,97.4,69.8,76.5,77,65.6
Prowers County,CO ,High,97.4,35.9,43.3,45.8,65.2
Pueblo County,CO ,High,97.4,47.8,55.8,57.8,79.7
Rio Blanco County,CO ,Low-Mod,97.4,33.4,39.6,42.2,72.6
Rio Grande County,CO ,High,97.4,53.8,62.6,65.6,89
Routt County,CO ,Low,97.4,67.2,75.5,76,87.1
Saguache County,CO ,High,97.4,30.9,35.5,37.8,47.2
San Juan County,CO ,Low,97.4,85.6,93,92.9,79.8
San Miguel County,CO ,Low,97.4,73.3,82.2,82.2,78.2
Sedgwick County,CO ,Mod-High,97.4,45.2,51.5,55.1,81.3
Summit County,CO ,Low,97.4,74.8,83.7,84.3,82.4
Teller County,CO ,Low,97.4,48.1,53.7,55.4,76
Washington County,CO ,Low-Mod,97.4,25.9,30.2,32.6,49.4
Weld County,CO ,Low-Mod,97.4,51.2,61.7,63.8,86.9
Yuma County,CO ,Mod-High,97.4,36.6,45,49.1,67.6
Fairfield County,CT ,Low-Mod,98.4,70.6,82.1,83,90.3
Hartford County,CT ,Mod-High,98.4,66.2,76.4,77.9,92.3
Litchfield County,CT ,Low,98.4,68,76.3,77.7,89.7
Middlesex County,CT ,Low,98.4,74.6,83.3,84.6,96.3
New Haven County,CT ,Mod-High,98.4,67.6,77.5,78.8,90
New London County,CT ,Low-Mod,98.4,69.6,79.3,80.8,94.8
Tolland County,CT ,Low,98.4,59.9,66.9,67.6,92.8
Windham County,CT ,Low-Mod,98.4,56.1,64.2,65.6,88.4
Kent County,DE ,Mod-High,96.2,45.8,54,55.6,76.5
New Castle County,DE ,Low-Mod,96.2,57.9,67.3,68.4,84.9
Sussex County,DE ,Low-Mod,96.2,58.1,66.1,68.4,88
District of Columbia,DC ,Mod-High,95.1,57.4,66.4,67.2,81.1
Alachua County,FL ,Low-Mod,98.7,58.5,66.7,67.4,93.9
Baker County,FL ,Mod-High,98.7,29.9,35.5,37.8,69.1
Bay County,FL ,Mod-High,98.7,43,49.8,52.1,73.1
Bradford County,FL ,High,98.7,36.8,42.2,44,71.1
Brevard County,FL ,Low-Mod,98.7,55.9,63.3,65.1,82.5
Broward County,FL ,Mod-High,98.7,61,70.8,72.3,84.9
Calhoun County,FL ,High,98.7,30.6,35,37,64.2
Charlotte County,FL ,Low-Mod,98.7,58.1,62.7,64.4,81.5
Citrus County,FL ,Mod-High,98.7,50.7,56,58.1,78.2
Clay County,FL ,Low-Mod,98.7,42.2,49.3,51.2,73.4
Collier County,FL ,Low-Mod,98.7,62.2,69.7,72.1,89
Columbia County,FL ,High,98.7,36.7,42.8,44.8,70.7
DeSoto County,FL ,High,98.7,38.7,44.1,45.6,68.5
Dixie County,FL ,High,98.7,29.9,34,35.6,63
Duval County,FL ,Mod-High,98.7,52.1,61.7,63.6,87.4
Escambia County,FL ,Low-Mod,98.7,45.9,53.5,55.8,82.6
Flagler County,FL ,Low-Mod,98.7,56.2,62.6,64.8,83.5
Franklin County,FL ,High,98.7,42.5,47.3,49,83
Gadsden County,FL ,High,98.7,50.9,59.4,61.2,84
Gilchrist County,FL ,High,98.7,31.8,36.7,38.2,62.2
Glades County,FL ,High,98.7,29.1,31.9,32.6,43.3
Gulf County,FL ,Mod-High,98.7,44.5,50.7,53,75.9
Hamilton County,FL ,High,98.7,31.6,36.2,37.8,70.2
Hardee County,FL ,High,98.7,35.6,42.8,45.4,69.6
Hendry County,FL ,High,98.7,40.4,49.2,51.8,80.4
Hernando County,FL ,Mod-High,98.7,47.6,53.8,55.7,76.8
Highlands County,FL ,High,98.7,44.6,50.1,52,67.2
Hillsborough County,FL ,Mod-High,98.7,51.8,60.8,62.3,79.2
Holmes County,FL ,High,98.7,25.4,29.2,31,54.9
Indian River County,FL ,Low-Mod,98.7,59,65.5,67.6,87.1
Jackson County,FL ,High,98.7,36.2,41.2,43.7,67.6
Jefferson County,FL ,Mod-High,98.7,53.1,59.6,61.6,99.9
Lafayette County,FL ,High,98.7,34.6,39.2,41.5,88.1
Lake County,FL ,Mod-High,98.7,58.2,66.3,68.3,93.1
Lee County,FL ,Mod-High,98.7,54.4,61.3,63.3,83.9
Leon County,FL ,Low-Mod,98.7,49.8,56.8,57.5,88.4
Levy County,FL ,High,98.7,40.7,46.7,48.7,71.2
Liberty County,FL ,High,98.7,31.1,34.8,36.4,68.5
Madison County,FL ,High,98.7,37.4,42.5,43.9,72.4
Manatee County,FL ,Mod-High,98.7,53.5,60.5,62.4,80
Marion County,FL ,High,98.7,50.1,57,58.9,78.5
Martin County,FL ,Low-Mod,98.7,56.5,63,64.8,84.4
Miami-Dade County,FL ,High,98.7,72.5,83.8,85.6,89.6
Monroe County,FL ,Low-Mod,98.7,67.5,75.3,77,95.9
Nassau County,FL ,Low,98.7,51,58.5,60.9,87.7
Okaloosa County,FL ,Low-Mod,98.7,48.4,57.1,59.5,87.3
Okeechobee County,FL ,High,98.7,40.4,47.1,49.3,85.8
Orange County,FL ,Mod-High,98.7,59,69.1,70.4,88.4
Osceola County,FL ,High,98.7,60.8,72.1,73.9,91.6
Palm Beach County,FL ,Mod-High,98.7,58.1,66.3,67.9,83.1
Pasco County,FL ,Mod-High,98.7,50.6,58.2,60,79.7
Pinellas County,FL ,Mod-High,98.7,57.3,63.9,65.5,80.7
Polk County,FL ,High,98.7,48.2,56.2,58.3,78.7
Putnam County,FL ,High,98.7,34.8,40.5,42.3,61.6
Santa Rosa County,FL ,Low-Mod,98.7,42.8,49.8,51.8,82.4
Sarasota County,FL ,Low-Mod,98.7,62.5,68.6,70.3,85.2
Seminole County,FL ,Low,98.7,54,62.3,63.3,79
St. Johns County,FL ,Low,98.7,61.6,71.3,73.1,94.6
St. Lucie County,FL ,Mod-High,98.7,50.1,57.3,59,77
Sumter County,FL ,Low,98.7,73.8,77.4,78.8,92
Suwannee County,FL ,High,98.7,33,38.2,40.3,66.8
Taylor County,FL ,High,98.7,34.2,39.5,41.3,66.3
Union County,FL ,High,98.7,31.6,36.4,38,64.8
Volusia County,FL ,Mod-High,98.7,52.7,59.5,61.3,84.2
Wakulla County,FL ,Low-Mod,98.7,39.2,45.2,47,84.4
Walton County,FL ,Mod-High,98.7,40.7,47.2,49.4,73.8
Washington County,FL ,High,98.7,27.7,31.8,33.7,61.4
Appling County,GA ,High,57.1,12.9,15.5,16.1,16.7
Atkinson County,GA ,High,57.1,16,19.3,20.4,15.6
Bacon County,GA ,High,57.1,11.8,14.1,15.1,14
Baker County,GA ,Mod-High,57.1,32.3,37,38,42.8
Baldwin County,GA ,High,57.1,12.9,14.7,13.9,12.9
Banks County,GA ,Mod-High,57.1,12.9,15,15.6,19.6
Barrow County,GA ,Low-Mod,57.1,18.2,21.9,22.2,34.8
Bartow County,GA ,Mod-High,57.1,15,17.7,18.2,23.2
Ben Hill County,GA ,High,57.1,12.7,15.1,15,14.6
Berrien County,GA ,High,57.1,17.5,20.7,21.9,34.4
Bibb County,GA ,High,57.1,22.5,26.8,27.2,37
Bleckley County,GA ,Mod-High,57.1,10.3,11.8,11.4,9.8
Brantley County,GA ,Mod-High,57.1,11.4,13.4,14.2,20.9
Brooks County,GA ,High,57.1,29.9,34.9,36.4,54.1
Bryan County,GA ,Low-Mod,57.1,31.7,39.3,41.2,65.9
Bulloch County,GA ,High,57.1,25,28.8,29.4,62.7
Burke County,GA ,High,57.1,38.8,46.6,49.2,66.5
Butts County,GA ,High,57.1,12.7,14.6,14.8,21.6
Calhoun County,GA ,High,57.1,19.3,21.5,21.3,23
Camden County,GA ,Mod-High,57.1,40.7,49,50.8,71.7
Candler County,GA ,High,57.1,18.2,21.6,22.6,21.6
Carroll County,GA ,High,57.1,21.1,25,26.1,42.5
Catoosa County,GA ,Low,57.1,16.3,19,19.1,17.8
Charlton County,GA ,High,57.1,11.3,12.9,12.9,22.3
Chatham County,GA ,Mod-High,57.1,42.4,49.4,50.7,72.2
